"Noise_dBm","Sweep_km","VOA_dB","QBER","SecureKeyRate_bps","NoiseCondition","LogSKR"
"none",0,10,0.0312,352387,"Baseline",5.54702111079984
"none",0,10,0.0315,325497,"Baseline",5.51254832441993
"none",0,10,0.0317,314862,"Baseline",5.49812162907118
"none",0,10,0.0318,319108,"Baseline",5.50393905300334
"none",0,10,0.0318,324400,"Baseline",5.51108218429933
"none",0,10,0.0319,321884,"Baseline",5.50770073881977
"none",0,10,0.032,290307,"Baseline",5.46285900382335
"none",0,10,0.032,320555,"Baseline",5.5059039101934
"none",0,10,0.0321,304599,"Baseline",5.48372989900002
"none",0,10,0.0321,317192,"Baseline",5.50132359448757
"none",0,10,0.0322,317606,"Baseline",5.50189006563123
"none",0,10,0.0323,308355,"Baseline",5.48905240335918
"none",0,10,0.0323,318441,"Baseline",5.50303034287627
"none",0,10,0.0323,338334,"Baseline",5.52934692690598
"none",0,10,0.0324,295117,"Baseline",5.46999569903663
"none",0,10,0.0324,300627,"Baseline",5.47802942761211
"none",0,10,0.0324,312002,"Baseline",5.49415876990685
"none",0,10,0.0324,316933,"Baseline",5.5009688318704
"none",0,10,0.0325,312131,"Baseline",5.49433829513444
"none",0,10,0.0325,315470,"Baseline",5.49895944244278
"none",0,10,0.0325,325371,"Baseline",5.51238017684698
"none",0,10,0.0326,314208,"Baseline",5.49721862053323
"none",0,10,0.0327,305277,"Baseline",5.48469550779402
"none",0,10,0.0327,310483,"Baseline",5.49203922483225
"none",0,10,0.0327,311074,"Baseline",5.4928651097962
"none",0,10,0.0327,314519,"Baseline",5.49764826699423
"none",0,10,0.0327,325068,"Baseline",5.51197555525168
"none",0,10,0.0327,333520,"Baseline",5.52312318427053
"none",0,10,0.0328,313712,"Baseline",5.49653251586473
"none",0,10,0.033,308667,"Baseline",5.4894916079603
"none",0,10,0.033,322186,"Baseline",5.50810801298523
"none",0,10,0.0331,279350,"Baseline",5.44615023035416
"none",0,10,0.0331,309846,"Baseline",5.49114729558089
"none",0,10,0.0331,319634,"Baseline",5.5046543284474
"none",0,10,0.0331,320264,"Baseline",5.50550947960227
"none",0,10,0.0332,279433,"Baseline",5.44627924756923
"none",0,10,0.0332,282173,"Baseline",5.45051699461773
"none",0,10,0.0333,298942,"Baseline",5.47558838850725
"none",0,10,0.0333,307944,"Baseline",5.48847315698923
"none",0,10,0.0335,300185,"Baseline",5.47739043386153
"none",0,10,0.0335,301132,"Baseline",5.47875835077213
"none",0,10,0.0335,304910,"Baseline",5.48417309229955
"none",0,10,0.0335,311580,"Baseline",5.49357096682229
"none",0,10,0.0336,304097,"Baseline",5.48301356387376
"none",0,10,0.0337,302340,"Baseline",5.48049704518105
"none",0,10,0.0338,300915,"Baseline",5.47844528021922
"none",0,10,0.0338,320781,"Baseline",5.50620999078421
"none",0,10,0.034,292358,"Baseline",5.46591646773094
"none",0,10,0.034,292894,"Baseline",5.46671195791941
"none",0,10,0.034,293284,"Baseline",5.46728985164808
"none",0,10,0.0341,295407,"Baseline",5.47042225234631
"none",0,10,0.0342,290173,"Baseline",5.46265849644635
"none",0,10,0.0343,293462,"Baseline",5.46755335291319
"none",0,10,0.0344,291774,"Baseline",5.4650480777316
"none",0,10,0.0345,289631,"Baseline",5.46184654321456
"none",0,10,0.0346,299680,"Baseline",5.47665920922282
"none",0,10,0.0346,300479,"Baseline",5.47781557058602
"none",0,10,0.0346,315458,"Baseline",5.498942922278
"none",0,10,0.0347,269930,"Baseline",5.43125276360738
"none",0,10,0.0349,291390,"Baseline",5.46447613387632
"none",0,10,0.0354,284392,"Baseline",5.45391890254019
"none",0,15,0.0358,103414,"Baseline",5.01458353628944
"none",0,15,0.0358,104997,"Baseline",5.02118102671531
"none",0,15,0.0358,105011,"Baseline",5.02123892988902
"none",0,15,0.0359,102983,"Baseline",5.01276975624428
"none",0,15,0.0359,104055,"Baseline",5.01726712723639
"none",0,15,0.0359,104182,"Baseline",5.01779685899692
"none",0,15,0.0359,104488,"Baseline",5.01907057283222
"none",0,15,0.0359,104673,"Baseline",5.01983882056345
"none",0,15,0.036,102911,"Baseline",5.01246601839632
"none",0,15,0.036,103896,"Baseline",5.01660300759321
"none",0,15,0.036,103980,"Baseline",5.01695398978917
"none",0,15,0.036,104269,"Baseline",5.01815937354091
"none",0,15,0.036,104573,"Baseline",5.01942372028534
"none",0,15,0.0361,100487,"Baseline",5.00211420260284
"none",0,15,0.0361,100983,"Baseline",5.00425256920678
"none",0,15,0.0361,102194,"Baseline",5.00942964799508
"none",0,15,0.0361,103541,"Baseline",5.01511654948662
"none",0,15,0.0362,103104,"Baseline",5.01327972658087
"none",0,15,0.0363,98032,"Baseline",4.99137229309506
"none",0,15,0.0363,102254,"Baseline",5.00968455305414
"none",0,15,0.0363,102446,"Baseline",5.01049924528946
"none",0,15,0.0364,98507,"Baseline",4.99347150171357
"none",0,15,0.0364,99891,"Baseline",4.99953070849649
"none",0,15,0.0364,100908,"Baseline",5.00392990237197
"none",0,15,0.0364,101986,"Baseline",5.00854481697683
"none",0,15,0.0364,102709,"Baseline",5.01161272921942
"none",0,15,0.0365,102244,"Baseline",5.00964207926614
"none",0,15,0.0365,102913,"Baseline",5.01247445842784
"none",0,15,0.0366,97197,"Baseline",4.98765732873389
"none",0,15,0.0366,101630,"Baseline",5.00702619884785
"none",0,15,0.0366,102331,"Baseline",5.01001146216064
"none",0,15,0.0366,103892,"Baseline",5.016586287078
"none",0,15,0.0367,100389,"Baseline",5.00169045423215
"none",0,15,0.0367,101262,"Baseline",5.00545078957409
"none",0,15,0.0367,101441,"Baseline",5.00621780304161
"none",0,15,0.0367,102132,"Baseline",5.0091660888284
"none",0,15,0.0367,102740,"Baseline",5.01174378848943
"none",0,15,0.0367,102932,"Baseline",5.01255463054771
"none",0,15,0.0367,103672,"Baseline",5.01566566595704
"none",0,15,0.0367,105052,"Baseline",5.02140845907269
"none",0,15,0.0368,101775,"Baseline",5.00764537823246
"none",0,15,0.0368,105708,"Baseline",5.02411196444974
"none",0,15,0.0369,100228,"Baseline",5.00099339735721
"none",0,15,0.0369,100879,"Baseline",5.00380507356503
"none",0,15,0.0369,103020,"Baseline",5.01292576115681
"none",0,15,0.037,98104,"Baseline",4.99169114211056
"none",0,15,0.037,98991,"Baseline",4.99560009867593
"none",0,15,0.037,100336,"Baseline",5.0014611118111
"none",0,15,0.037,101653,"Baseline",5.00712447243543
"none",0,15,0.0371,99786,"Baseline",4.99907396617704
"none",0,15,0.0373,96961,"Baseline",4.98660156494933
"none",0,15,0.0373,98654,"Baseline",4.99411910091494
"none",0,15,0.0374,97866,"Baseline",4.99063627572649
"none",0,15,0.0374,98821,"Baseline",4.99485363907145
"none",0,15,0.0379,94447,"Baseline",4.97519276587712
"none",0,20,0.0383,31883,"Baseline",4.5035728004579
"none",0,20,0.0383,32227,"Baseline",4.50823335497201
"none",0,20,0.0385,33331,"Baseline",4.52286137315362
"none",0,20,0.0386,32545,"Baseline",4.51249762010312
"none",0,20,0.0387,33208,"Baseline",4.52125579818132
"none",0,20,0.0388,32316,"Baseline",4.50943103824372
"none",0,20,0.0388,33102,"Baseline",4.51986735402968
"none",0,20,0.0389,32994,"Baseline",4.51844813269814
"none",0,20,0.039,32744,"Baseline",4.51514499476482
"none",0,20,0.0391,32564,"Baseline",4.5127510825101
"none",0,20,0.0391,34799,"Baseline",4.54157924394658
"none",0,20,0.0392,31574,"Baseline",4.49934335922737
"none",0,20,0.0392,32571,"Baseline",4.5128444261208
"none",0,20,0.0393,31410,"Baseline",4.49708176280948
"none",0,20,0.0393,32319,"Baseline",4.50947135210255
"none",0,20,0.0394,31248,"Baseline",4.49483612403431
"none",0,20,0.0394,32183,"Baseline",4.5076400195632
"none",0,20,0.0395,31104,"Baseline",4.49283020567869
"none",0,20,0.0395,31579,"Baseline",4.49941212567228
"none",0,20,0.0395,32956,"Baseline",4.51794767199525
"none",0,20,0.0395,33003,"Baseline",4.51856657844312
"none",0,20,0.0395,33550,"Baseline",4.52570546900604
"none",0,20,0.0396,31948,"Baseline",4.50445726934016
"none",0,20,0.0396,32076,"Baseline",4.50619374413925
"none",0,20,0.0396,32211,"Baseline",4.50801769042039
"none",0,20,0.0396,32237,"Baseline",4.50836809095234
"none",0,20,0.0396,32334,"Baseline",4.50967286528314
"none",0,20,0.0396,33412,"Baseline",4.52391547069811
"none",0,20,0.0397,31446,"Baseline",4.49757922066872
"none",0,20,0.0397,31806,"Baseline",4.50252270887828
"none",0,20,0.0397,32337,"Baseline",4.5097131567014
"none",0,20,0.0397,32885,"Baseline",4.51701105245584
"none",0,20,0.0398,31762,"Baseline",4.50192151459622
"none",0,20,0.0399,31137,"Baseline",4.49329071430603
"none",0,20,0.04,31428,"Baseline",4.49733056296505
"none",0,20,0.0401,31184,"Baseline",4.49394574838715
"none",0,20,0.0401,31276,"Baseline",4.49522509010622
"none",0,20,0.0402,30951,"Baseline",4.49068871671319
"none",0,20,0.0402,30988,"Baseline",4.4912075619931
"none",0,20,0.0402,31229,"Baseline",4.4945719842302
"none",0,20,0.0403,30526,"Baseline",4.48468412668768
"none",0,20,0.0403,30711,"Baseline",4.48730809910935
"none",0,20,0.0403,31827,"Baseline",4.50280934938904
"none",0,20,0.0404,30743,"Baseline",4.48776037145629
"none",0,20,0.0405,30612,"Baseline",4.48590589149227
"none",0,20,0.0406,30588,"Baseline",4.48556527948286
"none",0,20,0.0407,31000,"Baseline",4.49137570310773
"none",0,20,0.0407,32258,"Baseline",4.50865090052308
"none",0,25,0.0392,9589,"Baseline",3.98181860717066
"none",0,25,0.0401,9331,"Baseline",3.96997473012172
"none",0,25,0.0411,9236,"Baseline",3.96553094362286
"none",0,25,0.0411,9665,"Baseline",3.98524679080286
"none",0,25,0.0411,10129,"Baseline",4.00560944536028
"none",0,25,0.0413,9378,"Baseline",3.97215653585949
"none",0,25,0.0414,9584,"Baseline",3.98159211721408
"none",0,25,0.0415,9784,"Baseline",3.99056082999402
"none",0,25,0.0415,10172,"Baseline",4.00744904449775
"none",0,25,0.0415,10182,"Baseline",4.00787574376759
"none",0,25,0.0416,9517,"Baseline",3.97854570046274
"none",0,25,0.0417,8770,"Baseline",3.94304911100841
"none",0,25,0.0417,9064,"Baseline",3.95736780843153
"none",0,25,0.0417,9891,"Baseline",3.99528410768926
"none",0,25,0.0419,9301,"Baseline",3.9685763351755
"none",0,25,0.042,7627,"Baseline",3.88241068437397
"none",0,25,0.042,8920,"Baseline",3.95041353936938
"none",0,25,0.042,9393,"Baseline",3.97285055584723
"none",0,25,0.0421,9638,"Baseline",3.98403198027118
"none",0,25,0.0421,9971,"Baseline",3.99878226983174
"none",0,25,0.0422,9114,"Baseline",3.95975667299099
"none",0,25,0.0422,9127,"Baseline",3.96037563141016
"none",0,25,0.0422,9140,"Baseline",3.96099370894234
"none",0,25,0.0423,9562,"Baseline",3.98059415577622
"none",0,25,0.0424,9590,"Baseline",3.98186389099135
"none",0,25,0.0426,9343,"Baseline",3.97053282976832
"none",0,25,0.0426,9428,"Baseline",3.97446563573724
"none",0,25,0.0427,8976,"Baseline",3.95313122518345
"none",0,25,0.0427,9255,"Baseline",3.96642334594369
"none",0,25,0.0427,9649,"Baseline",3.98452731334379
"none",0,25,0.0428,8660,"Baseline",3.93756803860038
"none",0,25,0.0428,9353,"Baseline",3.97099736557249
"none",0,25,0.0428,9493,"Baseline",3.97744922738234
"none",0,25,0.0428,9820,"Baseline",3.99215571104262
"none",0,25,0.0429,9476,"Baseline",3.97667088062481
"none",0,25,0.043,9130,"Baseline",3.96051834278071
"none",0,25,0.043,9183,"Baseline",3.9630318750539
"none",0,25,0.0431,9163,"Baseline",3.96208508051736
"none",0,25,0.0431,9294,"Baseline",3.96824939410792
"none",0,25,0.0432,9054,"Baseline",3.95688845465008
"none",0,25,0.0432,9154,"Baseline",3.96165834863772
"none",0,25,0.0433,9117,"Baseline",3.95989958786594
"none",0,25,0.0433,9188,"Baseline",3.96326825152624
"none",0,25,0.0434,9321,"Baseline",3.96950909859657
"none",0,25,0.0435,8514,"Baseline",3.93018465229862
"none",0,25,0.0435,8603,"Baseline",3.93470040171542
"none",0,25,0.0435,8636,"Baseline",3.93636291959774
"none",0,25,0.0435,9213,"Baseline",3.96444820791666
"none",0,25,0.0436,8891,"Baseline",3.94899945402695
"none",0,25,0.0437,8878,"Baseline",3.94836405598837
"none",0,25,0.0437,9283,"Baseline",3.96773513178388
"none",0,25,0.0438,8505,"Baseline",3.929725378378
"none",0,25,0.0438,8744,"Baseline",3.9417598138147
"none",0,25,0.0439,8226,"Baseline",3.91524149730619
"none",0,25,0.0439,8726,"Baseline",3.94086497596672
"none",0,25,0.044,8531,"Baseline",3.93105084677739
"none",0,25,0.044,8668,"Baseline",3.93796900295145
"none",0,25,0.044,9274,"Baseline",3.96731391828708
"none",0,25,0.0451,8515,"Baseline",3.93023565276629
"none",0,25,0.0451,9805,"Baseline",3.99149188891016
"none",0,25,0.0453,9818,"Baseline",3.99206726002767
"none",0,25,0.0454,9524,"Baseline",3.97886498434766
"none",0,25,0.0475,7548,"Baseline",3.87788942537148
"none",0,25,0.0476,7724,"Baseline",3.88789848809687
"none",0,27,0.0512,3752,"Baseline",3.57437856441308
"none",0,27,0.0521,3614,"Baseline",3.55810830163055
"none",0,27,0.0524,3471,"Baseline",3.54057971650445
"none",0,27,0.0525,3380,"Baseline",3.52904517076577
"none",0,27,0.0526,2811,"Baseline",3.44901531634779
"none",0,27,0.0526,3010,"Baseline",3.47871075551276
"none",0,27,0.0526,3459,"Baseline",3.53907609879278
"none",0,27,0.0527,3364,"Baseline",3.52698506856
"none",0,27,0.0528,3033,"Baseline",3.48201557645071
"none",0,27,0.0528,3316,"Baseline",3.52074547151948
"none",0,27,0.0529,3047,"Baseline",3.48401496266756
"none",0,27,0.0529,3328,"Baseline",3.52231379515667
"none",0,27,0.0529,3380,"Baseline",3.52904517076577
"none",0,27,0.053,2893,"Baseline",3.46149852678302
"none",0,27,0.053,3087,"Baseline",3.4896772916637
"none",0,27,0.053,3193,"Baseline",3.50433491180246
"none",0,27,0.0531,3233,"Baseline",3.50974001557038
"none",0,27,0.0532,3082,"Baseline",3.48897352472651
"none",0,27,0.0532,3147,"Baseline",3.49803472368703
"none",0,27,0.0533,3082,"Baseline",3.48897352472651
"none",0,27,0.0533,3174,"Baseline",3.50174372962799
"none",0,27,0.0534,2875,"Baseline",3.45878888171084
"none",0,27,0.0534,2994,"Baseline",3.47639682672533
"none",0,27,0.0534,3311,"Baseline",3.52009032811284
"none",0,27,0.0535,2820,"Baseline",3.45040308615537
"none",0,27,0.0535,3036,"Baseline",3.48244479191827
"none",0,27,0.0536,3088,"Baseline",3.48981790830145
"none",0,27,0.0537,2707,"Baseline",3.43264866001311
"none",0,27,0.0537,2918,"Baseline",3.46523409498801
"none",0,27,0.0537,2961,"Baseline",3.47158505418519
"none",0,27,0.0537,3074,"Baseline",3.48784512011144
"none",0,27,0.0538,2896,"Baseline",3.46194849520376
"none",0,27,0.0538,2898,"Baseline",3.462248215355
"none",0,27,0.0538,3129,"Baseline",3.49554433754645
"none",0,27,0.0539,3254,"Baseline",3.51255099290421
"none",0,27,0.0539,3482,"Baseline",3.54195347445824
"none",0,27,0.054,2872,"Baseline",3.45833562599195
"none",0,27,0.054,3273,"Baseline",3.51507867507592
"none",0,27,0.054,3339,"Baseline",3.52374646681156
"none",0,27,0.0541,2869,"Baseline",3.45788189673399
"none",0,27,0.0542,2858,"Baseline",3.45621415535799
"none",0,27,0.0543,2844,"Baseline",3.45408227073109
"none",0,27,0.0543,2965,"Baseline",3.47217114669236
"none",0,27,0.0546,3299,"Baseline",3.51851393987789
"none",0,27,0.0547,3302,"Baseline",3.51890857369141
"none",0,28,0.0492,2817,"Baseline",3.44994098877334
"none",0,28,0.0493,3202,"Baseline",3.50555693866382
"none",0,28,0.0495,3600,"Baseline",3.55642312137129
"none",0,28,0.0497,3444,"Baseline",3.53718922624364
"none",0,28,0.05,3622,"Baseline",3.55906833403454
"none",0,28,0.0501,2659,"Baseline",3.42488163663107
"none",0,28,0.0501,3051,"Baseline",3.48458452928284
"none",0,28,0.0502,3414,"Baseline",3.53339070801755
"none",0,28,0.0503,3573,"Baseline",3.55315454816963
"none",0,28,0.0505,3289,"Baseline",3.51719589794997
"none",0,28,0.0505,3290,"Baseline",3.51732788229437
"none",0,28,0.0505,3336,"Baseline",3.52335620665479
"none",0,28,0.0505,3378,"Baseline",3.5287881917749
"none",0,28,0.0505,3489,"Baseline",3.54282542695918
"none",0,28,0.0506,3425,"Baseline",3.53478735862949
"none",0,28,0.0507,3164,"Baseline",3.50037371435337
"none",0,28,0.0507,3389,"Baseline",3.53019969820308
"none",0,28,0.0508,3173,"Baseline",3.50160692241883
"none",0,28,0.0508,3251,"Baseline",3.51215053692203
"none",0,28,0.0509,2405,"Baseline",3.38129562300383
"none",0,28,0.0509,3075,"Baseline",3.48798633112939
"none",0,28,0.051,3352,"Baseline",3.52543355342882
"none",0,28,0.051,3420,"Baseline",3.53415307418506
"none",0,28,0.0511,3135,"Baseline",3.4963760540124
"none",0,28,0.0511,3136,"Baseline",3.49651451869775
"none",0,28,0.0511,3438,"Baseline",3.53643217582201
"none",0,28,0.0512,2510,"Baseline",3.39984671271292
"none",0,28,0.0512,3043,"Baseline",3.48344464809854
"none",0,28,0.0513,3235,"Baseline",3.51000851294023
"none",0,28,0.0513,3249,"Baseline",3.51188336097887
"none",0,28,0.0514,3064,"Baseline",3.48643047885443
"none",0,28,0.0514,3116,"Baseline",3.49373680227684
"none",0,28,0.0514,3168,"Baseline",3.5009222391903
"none",0,28,0.0514,3719,"Baseline",3.5705429398819
"none",0,28,0.0515,2982,"Baseline",3.47465325336206
"none",0,28,0.0515,3116,"Baseline",3.49373680227684
"none",0,28,0.0515,3144,"Baseline",3.49762064978129
"none",0,28,0.0515,3541,"Baseline",3.54924855685406
"none",0,28,0.0516,3058,"Baseline",3.48557947698468
"none",0,28,0.0516,3078,"Baseline",3.4884096889032
"none",0,28,0.0516,3306,"Baseline",3.5194341949137
"none",0,28,0.0517,3006,"Baseline",3.47813342810052
"none",0,28,0.0517,3059,"Baseline",3.48572142648158
"none",0,28,0.0517,3421,"Baseline",3.53428000520508
"none",0,28,0.0518,2866,"Baseline",3.45742769294648
"none",0,28,0.0518,2895,"Baseline",3.46179855752511
"none",0,28,0.0518,2951,"Baseline",3.470116353151
"none",0,28,0.0518,3059,"Baseline",3.48572142648158
"none",0,28,0.0519,2904,"Baseline",3.46314613672635
"none",0,28,0.0519,3025,"Baseline",3.48086892368717
"none",0,28,0.052,2866,"Baseline",3.45742769294648
"none",0,28,0.052,2963,"Baseline",3.47187819930729
"none",0,28,0.0521,2839,"Baseline",3.45331834004704
"none",0,28,0.0521,2987,"Baseline",3.47538059314336
"none",0,28,0.0521,3182,"Baseline",3.502836638621
"none",0,28,0.0522,2769,"Baseline",3.44247976906445
"none",0,28,0.0522,2854,"Baseline",3.45560611258187
