"Observation","Cluster","NoiseCondition"
1,2,"Baseline"
2,2,"Baseline"
3,2,"Baseline"
4,2,"Baseline"
5,2,"Baseline"
6,2,"Baseline"
7,2,"Baseline"
8,2,"Baseline"
9,2,"Baseline"
10,2,"Baseline"
11,2,"Baseline"
12,2,"Baseline"
13,2,"Baseline"
14,2,"Baseline"
15,2,"Baseline"
16,2,"Baseline"
17,2,"Baseline"
18,2,"Baseline"
19,2,"Baseline"
20,2,"Baseline"
21,2,"Baseline"
22,2,"Baseline"
23,2,"Baseline"
24,2,"Baseline"
25,2,"Baseline"
26,2,"Baseline"
27,2,"Baseline"
28,2,"Baseline"
29,2,"Baseline"
30,2,"Baseline"
31,2,"Baseline"
32,2,"Baseline"
33,2,"Baseline"
34,2,"Baseline"
35,2,"Baseline"
36,2,"Baseline"
37,2,"Baseline"
38,2,"Baseline"
39,2,"Baseline"
40,2,"Baseline"
41,2,"Baseline"
42,2,"Baseline"
43,2,"Baseline"
44,2,"Baseline"
45,2,"Baseline"
46,2,"Baseline"
47,2,"Baseline"
48,2,"Baseline"
49,2,"Baseline"
50,2,"Baseline"
51,2,"Baseline"
52,2,"Baseline"
53,2,"Baseline"
54,2,"Baseline"
55,2,"Baseline"
56,2,"Baseline"
57,2,"Baseline"
58,2,"Baseline"
59,2,"Baseline"
60,2,"Baseline"
61,2,"Baseline"
62,2,"Baseline"
63,2,"Baseline"
64,2,"Baseline"
65,2,"Baseline"
66,2,"Baseline"
67,2,"Baseline"
68,2,"Baseline"
69,2,"Baseline"
70,2,"Baseline"
71,2,"Baseline"
72,2,"Baseline"
73,2,"Baseline"
74,2,"Baseline"
75,2,"Baseline"
76,2,"Baseline"
77,2,"Baseline"
78,2,"Baseline"
79,2,"Baseline"
80,2,"Baseline"
81,2,"Baseline"
82,2,"Baseline"
83,2,"Baseline"
84,2,"Baseline"
85,2,"Baseline"
86,2,"Baseline"
87,2,"Baseline"
88,2,"Baseline"
89,2,"Baseline"
90,2,"Baseline"
91,2,"Baseline"
92,2,"Baseline"
93,2,"Baseline"
94,2,"Baseline"
95,2,"Baseline"
96,2,"Baseline"
97,2,"Baseline"
98,2,"Baseline"
99,2,"Baseline"
100,2,"Baseline"
101,2,"Baseline"
102,2,"Baseline"
103,2,"Baseline"
104,2,"Baseline"
105,2,"Baseline"
106,2,"Baseline"
107,2,"Baseline"
108,2,"Baseline"
109,2,"Baseline"
110,2,"Baseline"
111,2,"Baseline"
112,2,"Baseline"
113,2,"Baseline"
