"Observation","SourceFile","NoiseCondition","VOA_dB","Split"
1,"baseline_no_signal_no_added_fibre_full_sweep.csv","Baseline",10,"Train"
2,"baseline_no_signal_no_added_fibre_full_sweep.csv","Baseline",10,"Test"
3,"baseline_no_signal_no_added_fibre_full_sweep.csv","Baseline",10,"Test"
4,"baseline_no_signal_no_added_fibre_full_sweep.csv","Baseline",10,"Test"
5,"baseline_no_signal_no_added_fibre_full_sweep.csv","Baseline",10,"Train"
6,"baseline_no_signal_no_added_fibre_full_sweep.csv","Baseline",10,"Train"
7,"baseline_no_signal_no_added_fibre_full_sweep.csv","Baseline",10,"Train"
8,"baseline_no_signal_no_added_fibre_full_sweep.csv","Baseline",10,"Train"
9,"baseline_no_signal_no_added_fibre_full_sweep.csv","Baseline",10,"Train"
10,"baseline_no_signal_no_added_fibre_full_sweep.csv","Baseline",10,"Train"
11,"baseline_no_signal_no_added_fibre_full_sweep.csv","Baseline",10,"Train"
12,"baseline_no_signal_no_added_fibre_full_sweep.csv","Baseline",10,"Train"
13,"baseline_no_signal_no_added_fibre_full_sweep.csv","Baseline",10,"Train"
14,"baseline_no_signal_no_added_fibre_full_sweep.csv","Baseline",10,"Train"
15,"baseline_no_signal_no_added_fibre_full_sweep.csv","Baseline",10,"Train"
16,"baseline_no_signal_no_added_fibre_full_sweep.csv","Baseline",10,"Train"
17,"baseline_no_signal_no_added_fibre_full_sweep.csv","Baseline",10,"Test"
18,"baseline_no_signal_no_added_fibre_full_sweep.csv","Baseline",10,"Train"
19,"baseline_no_signal_no_added_fibre_full_sweep.csv","Baseline",10,"Train"
20,"baseline_no_signal_no_added_fibre_full_sweep.csv","Baseline",10,"Train"
21,"baseline_no_signal_no_added_fibre_full_sweep.csv","Baseline",10,"Train"
22,"baseline_no_signal_no_added_fibre_full_sweep.csv","Baseline",10,"Train"
23,"baseline_no_signal_no_added_fibre_full_sweep.csv","Baseline",10,"Train"
24,"baseline_no_signal_no_added_fibre_full_sweep.csv","Baseline",10,"Train"
25,"baseline_no_signal_no_added_fibre_full_sweep.csv","Baseline",10,"Train"
26,"baseline_no_signal_no_added_fibre_full_sweep.csv","Baseline",10,"Train"
27,"baseline_no_signal_no_added_fibre_full_sweep.csv","Baseline",10,"Train"
28,"baseline_no_signal_no_added_fibre_full_sweep.csv","Baseline",10,"Train"
29,"baseline_no_signal_no_added_fibre_full_sweep.csv","Baseline",10,"Train"
30,"baseline_no_signal_no_added_fibre_full_sweep.csv","Baseline",10,"Test"
31,"baseline_no_signal_no_added_fibre_full_sweep.csv","Baseline",10,"Train"
32,"baseline_no_signal_no_added_fibre_full_sweep.csv","Baseline",10,"Train"
33,"baseline_no_signal_no_added_fibre_full_sweep.csv","Baseline",10,"Train"
34,"baseline_no_signal_no_added_fibre_full_sweep.csv","Baseline",10,"Train"
35,"baseline_no_signal_no_added_fibre_full_sweep.csv","Baseline",10,"Train"
36,"baseline_no_signal_no_added_fibre_full_sweep.csv","Baseline",10,"Train"
37,"baseline_no_signal_no_added_fibre_full_sweep.csv","Baseline",10,"Test"
38,"baseline_no_signal_no_added_fibre_full_sweep.csv","Baseline",10,"Train"
39,"baseline_no_signal_no_added_fibre_full_sweep.csv","Baseline",10,"Train"
40,"baseline_no_signal_no_added_fibre_full_sweep.csv","Baseline",10,"Train"
41,"baseline_no_signal_no_added_fibre_full_sweep.csv","Baseline",10,"Test"
42,"baseline_no_signal_no_added_fibre_full_sweep.csv","Baseline",10,"Train"
43,"baseline_no_signal_no_added_fibre_full_sweep.csv","Baseline",10,"Train"
44,"baseline_no_signal_no_added_fibre_full_sweep.csv","Baseline",10,"Test"
45,"baseline_no_signal_no_added_fibre_full_sweep.csv","Baseline",10,"Train"
46,"baseline_no_signal_no_added_fibre_full_sweep.csv","Baseline",10,"Train"
47,"baseline_no_signal_no_added_fibre_full_sweep.csv","Baseline",10,"Train"
48,"baseline_no_signal_no_added_fibre_full_sweep.csv","Baseline",10,"Train"
