"Term","QBER_Estimate","QBER_SE","LogSKR_Estimate","LogSKR_SE"
"Baseline at mean attenuation",0.0463103622258571,0.000289354019878631,3.90514330973867,0.0401225053511602
"Baseline slope per dB",0.00148728757719018,4.16283525069239e-05,-0.170131952641521,0.00577228474973187
"At center: 3 dBm",0.000885138879988116,0.000426125191874467,-0.120009096340728,0.0590875160414873
"At center: 7 dBm",0.000503949162017248,0.000436349334615392,-0.0603970080729058,0.0605052195937168
"At center: 9 dBm",0.00267910043763374,0.00044954558996224,-0.254343886266593,0.0623350432332545
"At center: 12 dBm",0.00455507794875685,0.000396027522734879,-0.908839467140109,0.0549141028239446
"Extra slope: 3 dBm",0.000154545756143155,6.13424112023123e-05,-0.0217831279671514,0.00850588225022826
"Extra slope: 7 dBm",4.98722540768826e-05,6.16438358740773e-05,-0.000402726334838701,0.00854767850040973
"Extra slope: 9 dBm",0.000230889934820634,6.28925315736564e-05,-0.012498360464059,0.00872082556748469
"Extra slope: 12 dBm",0.000970208135451913,5.66281198714459e-05,-0.116081368702543,0.00785218758502557
